ОБЪЕКТ_НОМЕР_	РОДИТЕЛЬСКАЯ_ДИРЕКТОРИЯ	ТИП_ОБЪЕКТА	ИМЯ_ОБЪЕКТА	РАЗМЕР_В_БАЙТАХ
ОБЪЕКТ_НОМЕР_ 1	D:\Python_GB\HomeWork\Lesson_07	файл	-re-_rename_0001.txt	0
ОБЪЕКТ_НОМЕР_ 2	D:\Python_GB\HomeWork\Lesson_07	файл	-re-_rename_0002.txt	0
ОБЪЕКТ_НОМЕР_ 3	D:\Python_GB\HomeWork\Lesson_07	файл	-re-_rename_0003.txt	0
ОБЪЕКТ_НОМЕР_ 4	D:\Python_GB\HomeWork\Lesson_07	файл	names.txt	72
ОБЪЕКТ_НОМЕР_ 5	D:\Python_GB\HomeWork\Lesson_07	файл	numbers.txt	126
ОБЪЕКТ_НОМЕР_ 6	D:\Python_GB\HomeWork\Lesson_07	файл	result.txt	237
ОБЪЕКТ_НОМЕР_ 7	D:\Python_GB\HomeWork\Lesson_07	файл	task_1.py	3153
ОБЪЕКТ_НОМЕР_ 8	D:\Python_GB\HomeWork\Lesson_07	файл	task_2.py	767
ОБЪЕКТ_НОМЕР_ 9	D:\Python_GB\HomeWork\Lesson_07	директория	file_handler	24336
ОБЪЕКТ_НОМЕР_ 10	D:\Python_GB\HomeWork\Lesson_07	директория	many_files	93885
ОБЪЕКТ_НОМЕР_ 11	D:\Python_GB\HomeWork\Lesson_07\file_handler	файл	my_functions.py	9443
ОБЪЕКТ_НОМЕР_ 12	D:\Python_GB\HomeWork\Lesson_07\file_handler	файл	__init__.py	28
ОБЪЕКТ_НОМЕР_ 13	D:\Python_GB\HomeWork\Lesson_07\file_handler	директория	__pycache__	14865
ОБЪЕКТ_НОМЕР_ 14	D:\Python_GB\HomeWork\Lesson_07\file_handler\__pycache__	файл	my_functions.cpython-311.pyc	14672
ОБЪЕКТ_НОМЕР_ 15	D:\Python_GB\HomeWork\Lesson_07\file_handler\__pycache__	файл	__init__.cpython-311.pyc	193
ОБЪЕКТ_НОМЕР_ 16	D:\Python_GB\HomeWork\Lesson_07\many_files	файл	0niw_rename_02.tor	932
ОБЪЕКТ_НОМЕР_ 17	D:\Python_GB\HomeWork\Lesson_07\many_files	файл	3ixayj5_v08erw682nnab.sh	3521
ОБЪЕКТ_НОМЕР_ 18	D:\Python_GB\HomeWork\Lesson_07\many_files	файл	7wn2k4uexkqe5xe76tg4tu.java	3656
ОБЪЕКТ_НОМЕР_ 19	D:\Python_GB\HomeWork\Lesson_07\many_files	файл	8ww1jdovamr1b0or.java	641
ОБЪЕКТ_НОМЕР_ 20	D:\Python_GB\HomeWork\Lesson_07\many_files	файл	9fz0s3wytft6zpu6lyg.sh	1019
ОБЪЕКТ_НОМЕР_ 21	D:\Python_GB\HomeWork\Lesson_07\many_files	файл	jn5y7bcv2c700.java	1959
ОБЪЕКТ_НОМЕР_ 22	D:\Python_GB\HomeWork\Lesson_07\many_files	файл	k2q2pb.java	2446
ОБЪЕКТ_НОМЕР_ 23	D:\Python_GB\HomeWork\Lesson_07\many_files	файл	x4c4_rename_01.tor	662
ОБЪЕКТ_НОМЕР_ 24	D:\Python_GB\HomeWork\Lesson_07\many_files	директория	Music	8758
ОБЪЕКТ_НОМЕР_ 25	D:\Python_GB\HomeWork\Lesson_07\many_files	директория	Pictures	34708
ОБЪЕКТ_НОМЕР_ 26	D:\Python_GB\HomeWork\Lesson_07\many_files	директория	Text	21607
ОБЪЕКТ_НОМЕР_ 27	D:\Python_GB\HomeWork\Lesson_07\many_files	директория	Video	13976
ОБЪЕКТ_НОМЕР_ 28	D:\Python_GB\HomeWork\Lesson_07\many_files\Music	файл	891gceo9h9usn.mp3	382
ОБЪЕКТ_НОМЕР_ 29	D:\Python_GB\HomeWork\Lesson_07\many_files\Music	файл	9lhzg4jfl.wav	1831
ОБЪЕКТ_НОМЕР_ 30	D:\Python_GB\HomeWork\Lesson_07\many_files\Music	файл	da1o83.wav	286
ОБЪЕКТ_НОМЕР_ 31	D:\Python_GB\HomeWork\Lesson_07\many_files\Music	файл	sx4uyrnouv8kg9o.mp3	2981
ОБЪЕКТ_НОМЕР_ 32	D:\Python_GB\HomeWork\Lesson_07\many_files\Music	файл	v2lp533ci3o7.aac	331
ОБЪЕКТ_НОМЕР_ 33	D:\Python_GB\HomeWork\Lesson_07\many_files\Music	файл	w7cvcy.wav	2947
ОБЪЕКТ_НОМЕР_ 34	D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	28pq3_c305rp_ecc1of8l.jpg	513
ОБЪЕКТ_НОМЕР_ 35	D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	6hy6ibbz2bt1s.png	4069
ОБЪЕКТ_НОМЕР_ 36	D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	6rhs77v8p5dm_kri.gif	1713
ОБЪЕКТ_НОМЕР_ 37	D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	9d0qdcfxomfbbktn_350e35zuq.jpg	2492
ОБЪЕКТ_НОМЕР_ 38	D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	b1t6ocqkzqt7_pw8.bmp	1820
ОБЪЕКТ_НОМЕР_ 39	D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	f3co98t44jk97cmcqmat.png	2745
ОБЪЕКТ_НОМЕР_ 40	D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	fdacrs0e615x95gh897e.png	2742
ОБЪЕКТ_НОМЕР_ 41	D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	g6h1kzhrc8q2c5w3g.bmp	3027
ОБЪЕКТ_НОМЕР_ 42	D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	ihqxb98v909dzh5tm.jpg	1269
ОБЪЕКТ_НОМЕР_ 43	D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	kz_asap3zx794d.jpg	1051
ОБЪЕКТ_НОМЕР_ 44	D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	mpvte5dpvg.gif	1553
ОБЪЕКТ_НОМЕР_ 45	D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	m_8qbe8vy909c6.bmp	662
ОБЪЕКТ_НОМЕР_ 46	D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	ot_95h3_zx8_yb_mai1efyfra.bmp	2527
ОБЪЕКТ_НОМЕР_ 47	D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	slxy1ig5xkysvz5j662weqxek0tdca.bmp	3584
ОБЪЕКТ_НОМЕР_ 48	D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	squgyshugwqi_tf182akl2sml.jpg	1632
ОБЪЕКТ_НОМЕР_ 49	D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	zb3da16n7mf2n8h4.bmp	3309
