РОДИТЕЛЬСКАЯ_ДИРЕКТОРИЯ	ТИП_ОБЪЕКТА	ИМЯ_ОБЪЕКТА	РАЗМЕР_В_БАЙТАХ
D:\Python_GB\HomeWork\Lesson_07	файл	-re-_rename_0001.txt	0
D:\Python_GB\HomeWork\Lesson_07	файл	-re-_rename_0002.txt	0
D:\Python_GB\HomeWork\Lesson_07	файл	-re-_rename_0003.txt	0
D:\Python_GB\HomeWork\Lesson_07	файл	names.txt	72
D:\Python_GB\HomeWork\Lesson_07	файл	numbers.txt	126
D:\Python_GB\HomeWork\Lesson_07	файл	result.txt	237
D:\Python_GB\HomeWork\Lesson_07	файл	task_1.py	3153
D:\Python_GB\HomeWork\Lesson_07	файл	task_2.py	767
D:\Python_GB\HomeWork\Lesson_07	директория	file_handler	24336
D:\Python_GB\HomeWork\Lesson_07	директория	many_files	93885
D:\Python_GB\HomeWork\Lesson_07\file_handler	файл	my_functions.py	9443
D:\Python_GB\HomeWork\Lesson_07\file_handler	файл	__init__.py	28
D:\Python_GB\HomeWork\Lesson_07\file_handler	директория	__pycache__	14865
D:\Python_GB\HomeWork\Lesson_07\file_handler\__pycache__	файл	my_functions.cpython-311.pyc	14672
D:\Python_GB\HomeWork\Lesson_07\file_handler\__pycache__	файл	__init__.cpython-311.pyc	193
D:\Python_GB\HomeWork\Lesson_07\many_files	файл	0niw_rename_02.tor	932
D:\Python_GB\HomeWork\Lesson_07\many_files	файл	3ixayj5_v08erw682nnab.sh	3521
D:\Python_GB\HomeWork\Lesson_07\many_files	файл	7wn2k4uexkqe5xe76tg4tu.java	3656
D:\Python_GB\HomeWork\Lesson_07\many_files	файл	8ww1jdovamr1b0or.java	641
D:\Python_GB\HomeWork\Lesson_07\many_files	файл	9fz0s3wytft6zpu6lyg.sh	1019
D:\Python_GB\HomeWork\Lesson_07\many_files	файл	jn5y7bcv2c700.java	1959
D:\Python_GB\HomeWork\Lesson_07\many_files	файл	k2q2pb.java	2446
D:\Python_GB\HomeWork\Lesson_07\many_files	файл	x4c4_rename_01.tor	662
D:\Python_GB\HomeWork\Lesson_07\many_files	директория	Music	8758
D:\Python_GB\HomeWork\Lesson_07\many_files	директория	Pictures	34708
D:\Python_GB\HomeWork\Lesson_07\many_files	директория	Text	21607
D:\Python_GB\HomeWork\Lesson_07\many_files	директория	Video	13976
D:\Python_GB\HomeWork\Lesson_07\many_files\Music	файл	891gceo9h9usn.mp3	382
