РОДИТЕЛЬСКАЯ_ДИРЕКТОРИЯ	ТИП_ОБЪЕКТА	ИМЯ_ОБЪЕКТА	РАЗМЕР_В_БАЙТАХ
D:\Python_GB\HomeWork\Lesson_08	файл	test.py	3613
D:\Python_GB\HomeWork\Lesson_08	файл	test_2.py	3674
D:\Python_GB\HomeWork\Lesson_08	директория	file_conversion	30932
D:\Python_GB\HomeWork\Lesson_08	директория	task_1	40703
D:\Python_GB\HomeWork\Lesson_08	директория	task_2	10404
D:\Python_GB\HomeWork\Lesson_08\file_conversion	файл	functional.py	11921
D:\Python_GB\HomeWork\Lesson_08\file_conversion	файл	__init__.py	26
D:\Python_GB\HomeWork\Lesson_08\file_conversion	директория	__pycache__	18985
D:\Python_GB\HomeWork\Lesson_08\file_conversion\__pycache__	файл	functional.cpython-311.pyc	18792
D:\Python_GB\HomeWork\Lesson_08\file_conversion\__pycache__	файл	__init__.cpython-311.pyc	193
D:\Python_GB\HomeWork\Lesson_08\task_1	файл	ALL_INFO_DIR_Lesson_07.json	18549
D:\Python_GB\HomeWork\Lesson_08\task_1	файл	ALL_INFO_DIR_Lesson_07.pickle	5017
D:\Python_GB\HomeWork\Lesson_08\task_1	файл	ALL_INFO_DIR_Lesson_07_v1.csv	7156
D:\Python_GB\HomeWork\Lesson_08\task_1	файл	ALL_INFO_DIR_Lesson_07_v2.csv	5385
D:\Python_GB\HomeWork\Lesson_08\task_1	файл	task_1.py	4596
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	ALL_INFO_DIR_task_2.json	3577
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	ALL_INFO_DIR_task_2.pickle	1633
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	ALL_INFO_DIR_task_2_v1.csv	1418
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	ALL_INFO_DIR_task_2_v2.csv	1051
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	csv_data.json	744
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	csv_data.pickle	337
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	csv_data_pickle.csv	332
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	json_data.csv	114
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	json_data.json	242
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	json_data.pickle	162
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	result.json	162
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	result.pickle	138
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	task_2.py	494
