ОБЪЕКТ_НОМЕР_	РОДИТЕЛЬСКАЯ_ДИРЕКТОРИЯ	ТИП_ОБЪЕКТА	ИМЯ_ОБЪЕКТА	РАЗМЕР_В_БАЙТАХ
Объект_номер_1	D:\Python_GB\HomeWork\Lesson_08\task_2	файл	ALL_INFO_DIR_task_2.json	3577
Объект_номер_2	D:\Python_GB\HomeWork\Lesson_08\task_2	файл	ALL_INFO_DIR_task_2.pickle	1633
Объект_номер_3	D:\Python_GB\HomeWork\Lesson_08\task_2	файл	ALL_INFO_DIR_task_2_v1.csv	1418
Объект_номер_4	D:\Python_GB\HomeWork\Lesson_08\task_2	файл	ALL_INFO_DIR_task_2_v2.csv	1051
Объект_номер_5	D:\Python_GB\HomeWork\Lesson_08\task_2	файл	csv_data.json	746
Объект_номер_6	D:\Python_GB\HomeWork\Lesson_08\task_2	файл	csv_data.pickle	337
Объект_номер_7	D:\Python_GB\HomeWork\Lesson_08\task_2	файл	csv_data_pickle.csv	334
Объект_номер_8	D:\Python_GB\HomeWork\Lesson_08\task_2	файл	json_data.csv	114
Объект_номер_9	D:\Python_GB\HomeWork\Lesson_08\task_2	файл	json_data.json	242
Объект_номер_10	D:\Python_GB\HomeWork\Lesson_08\task_2	файл	json_data.pickle	162
Объект_номер_11	D:\Python_GB\HomeWork\Lesson_08\task_2	файл	result.json	162
Объект_номер_12	D:\Python_GB\HomeWork\Lesson_08\task_2	файл	result.pickle	138
Объект_номер_13	D:\Python_GB\HomeWork\Lesson_08\task_2	файл	task_2.py	494
