РОДИТЕЛЬСКАЯ_ДИРЕКТОРИЯ	ТИП_ОБЪЕКТА	ИМЯ_ОБЪЕКТА	РАЗМЕР_В_БАЙТАХ
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	ALL_INFO_DIR_task_2.json	3577
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	ALL_INFO_DIR_task_2.pickle	1633
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	ALL_INFO_DIR_task_2_v1.csv	1418
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	ALL_INFO_DIR_task_2_v2.csv	1051
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	csv_data.json	746
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	csv_data.pickle	337
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	csv_data_pickle.csv	334
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	json_data.csv	114
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	json_data.json	242
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	json_data.pickle	162
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	result.json	162
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	result.pickle	138
D:\Python_GB\HomeWork\Lesson_08\task_2	файл	task_2.py	494
